Date,Product,Quantity Sold,Revenue ($)
2025-01-01,Laptop,10,8000
2025-01-01,Phone,9,4500
2025-01-01,Tablet,16,4800
2025-01-01,Headphones,7,700
2025-01-01,Smartwatch,20,4000
2025-01-02,Laptop,11,8800
2025-01-02,Phone,17,8500
2025-01-02,Tablet,6,1800
2025-01-02,Headphones,10,1000
2025-01-02,Smartwatch,15,3000
2025-01-03,Laptop,13,10400
2025-01-03,Phone,15,7500
2025-01-03,Tablet,20,6000
2025-01-03,Headphones,5,500
2025-01-03,Smartwatch,17,3400
2025-01-04,Laptop,15,12000
2025-01-04,Phone,9,4500
2025-01-04,Tablet,18,5400
2025-01-04,Headphones,16,1600
2025-01-04,Smartwatch,5,1000
2025-01-05,Laptop,20,16000
2025-01-05,Phone,16,8000
2025-01-05,Tablet,11,3300
2025-01-05,Headphones,17,1700
2025-01-05,Smartwatch,13,2600
2025-01-06,Laptop,18,14400
2025-01-06,Phone,14,7000
2025-01-06,Tablet,9,2700
2025-01-06,Headphones,5,500
2025-01-06,Smartwatch,20,4000
2025-01-07,Laptop,11,8800
2025-01-07,Phone,12,6000
2025-01-07,Tablet,11,3300
2025-01-07,Headphones,15,1500
2025-01-07,Smartwatch,14,2800
2025-01-08,Laptop,6,4800
2025-01-08,Phone,19,9500
2025-01-08,Tablet,10,3000
2025-01-08,Headphones,18,1800
2025-01-08,Smartwatch,6,1200
2025-01-09,Laptop,12,9600
2025-01-09,Phone,16,8000
2025-01-09,Tablet,17,5100
2025-01-09,Headphones,16,1600
2025-01-09,Smartwatch,14,2800
2025-01-10,Laptop,9,7200
2025-01-10,Phone,5,2500
2025-01-10,Tablet,19,5700
2025-01-10,Headphones,11,1100
2025-01-10,Smartwatch,18,3600
2025-01-11,Laptop,9,7200
2025-01-11,Phone,11,5500
2025-01-11,Tablet,15,4500
2025-01-11,Headphones,8,800
2025-01-11,Smartwatch,11,2200
2025-01-12,Laptop,16,12800
2025-01-12,Phone,6,3000
2025-01-12,Tablet,12,3600
2025-01-12,Headphones,14,1400
2025-01-12,Smartwatch,8,1600
2025-01-13,Laptop,12,9600
2025-01-13,Phone,5,2500
2025-01-13,Tablet,14,4200
2025-01-13,Headphones,10,1000
2025-01-13,Smartwatch,19,3800
2025-01-14,Laptop,6,4800
2025-01-14,Phone,19,9500
2025-01-14,Tablet,12,3600
2025-01-14,Headphones,8,800
2025-01-14,Smartwatch,16,3200
2025-01-15,Laptop,5,4000
2025-01-15,Phone,17,8500
2025-01-15,Tablet,18,5400
2025-01-15,Headphones,12,1200
2025-01-15,Smartwatch,10,2000
2025-01-16,Laptop,12,9600
2025-01-16,Phone,18,9000
2025-01-16,Tablet,5,1500
2025-01-16,Headphones,12,1200
2025-01-16,Smartwatch,7,1400
2025-01-17,Laptop,7,5600
2025-01-17,Phone,16,8000
2025-01-17,Tablet,13,3900
2025-01-17,Headphones,18,1800
2025-01-17,Smartwatch,9,1800
2025-01-18,Laptop,8,6400
2025-01-18,Phone,16,8000
2025-01-18,Tablet,15,4500
2025-01-18,Headphones,17,1700
2025-01-18,Smartwatch,20,4000
2025-01-19,Laptop,10,8000
2025-01-19,Phone,6,3000
2025-01-19,Tablet,11,3300
2025-01-19,Headphones,16,1600
2025-01-19,Smartwatch,10,2000
2025-01-20,Laptop,6,4800
2025-01-20,Phone,16,8000
2025-01-20,Tablet,8,2400
2025-01-20,Headphones,18,1800
2025-01-20,Smartwatch,17,3400
2025-01-21,Laptop,5,4000
2025-01-21,Phone,20,10000
2025-01-21,Tablet,5,1500
2025-01-21,Headphones,13,1300
2025-01-21,Smartwatch,12,2400
2025-01-22,Laptop,12,9600
2025-01-22,Phone,15,7500
2025-01-22,Tablet,11,3300
2025-01-22,Headphones,8,800
2025-01-22,Smartwatch,20,4000
2025-01-23,Laptop,19,15200
2025-01-23,Phone,13,6500
2025-01-23,Tablet,5,1500
2025-01-23,Headphones,5,500
2025-01-23,Smartwatch,16,3200
2025-01-24,Laptop,6,4800
2025-01-24,Phone,18,9000
2025-01-24,Tablet,12,3600
2025-01-24,Headphones,8,800
2025-01-24,Smartwatch,19,3800
2025-01-25,Laptop,18,14400
2025-01-25,Phone,14,7000
2025-01-25,Tablet,16,4800
2025-01-25,Headphones,6,600
2025-01-25,Smartwatch,5,1000
2025-01-26,Laptop,12,9600
2025-01-26,Phone,10,5000
2025-01-26,Tablet,11,3300
2025-01-26,Headphones,16,1600
2025-01-26,Smartwatch,14,2800
2025-01-27,Laptop,5,4000
2025-01-27,Phone,14,7000
2025-01-27,Tablet,19,5700
2025-01-27,Headphones,14,1400
2025-01-27,Smartwatch,7,1400
2025-01-28,Laptop,8,6400
2025-01-28,Phone,9,4500
2025-01-28,Tablet,20,6000
2025-01-28,Headphones,5,500
2025-01-28,Smartwatch,12,2400
2025-01-29,Laptop,5,4000
2025-01-29,Phone,5,2500
2025-01-29,Tablet,12,3600
2025-01-29,Headphones,11,1100
2025-01-29,Smartwatch,8,1600
2025-01-30,Laptop,16,12800
2025-01-30,Phone,14,7000
2025-01-30,Tablet,10,3000
2025-01-30,Headphones,8,800
2025-01-30,Smartwatch,17,3400
